tarefa,tecnica,tokens_prompt,tokens_resposta,tokens_total,tempo_s,temperatura,sucesso,resposta_resumida
classificacao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
classificacao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
extracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,zero_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,few_shot,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,chain_of_thought,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
geracao,role_prompting,0,0,0,0.0,0.0,False,[ERRO] Ollama não encontrado. Certifique-se que o servidor está rodando.
